"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"MIR3648-2",1.17784471513949,6.50170649819559,11.2699908006148,2.54751315416874e-18,2.76469944510888e-16,31.2661664646137
"MIR3648-1",1.10427357663546,5.17209017349835,10.2462344542106,2.52359606375347e-16,1.52439486756731e-14,26.7290222270024
"PF4V1",0.845444978572298,5.0807586161376,5.39288608655881,6.58253136434558e-07,3.25341168088805e-06,5.40950118028122
"ITGB3",0.820057598438102,6.64436624207755,6.16369558096489,2.55771747240291e-08,1.76287028802969e-07,8.57690799438895
"ZNF652",0.791545385460697,6.11680134529087,12.3098352491651,2.63686016754004e-20,6.0299341616996e-18,35.7759684452763
"ZEB2",0.76208811167477,7.17004509501463,12.3781934666234,1.96027917556053e-20,4.6895264188099e-18,36.0683729517655
"TLN1",0.690453264374572,10.815234195375,8.16028704016874,3.42656293854075e-12,6.224193615738e-11,17.3387188691079
"MT-ND5",0.672118284315925,12.2701551252728,10.995389930585,8.66720596754824e-18,7.58043247955571e-16,30.0575021522168
"ITGA2B",0.664079917319349,8.07484489963919,8.07512636630369,5.05228992323486e-12,8.76688682343437e-11,16.9560877093344
"HLA-DQA2",0.65432596535641,8.83967703439212,3.8995731598714,0.000196674329485855,0.000560314007429557,-0.0763959827896095
"SCD5",0.644552643429916,5.78442277406453,10.3115137389863,1.87821979524121e-16,1.16962524833746e-14,27.0206456032652
"C3AR1",0.602104324783779,10.724632780548,6.67691738633712,2.72386275171046e-09,2.32390315778842e-08,10.7705664275233
"SPARC",0.601527416360649,6.88156224972384,5.97824744951283,5.66718875747526e-08,3.61244495909548e-07,7.79931700912173
"PDLIM1",0.584513916115945,8.12933789301106,9.88416301838597,1.30461512473932e-15,6.1877412175599e-14,25.1070294196285
"STK17B",0.584127471318526,8.85351067861784,10.4957583079973,8.17276252509743e-17,5.59681266825656e-15,27.8422146676291
"NRG1",0.583113746821706,8.61806761143328,5.64781134306095,2.28945375859236e-07,1.25400961644713e-06,6.43724430944705
"TOB1",0.56952414221746,6.63228471795883,9.13584041425477,3.96292955694161e-14,1.2025894764501e-12,21.7373198438548
"ACTN1",0.560303749812373,8.69030688423183,11.0639062922957,6.38158943654096e-18,6.09870405405549e-16,30.3597052541498
"RAD23B",0.547529812280709,9.43561352591764,7.40866522271846,1.03850758720241e-10,1.2775339252367e-09,13.9796603339668
"TUBB1",0.544524554768707,8.65168990538859,4.83215465521655,6.22880155409384e-06,2.4856974977166e-05,3.23182814845421
"DICER1",0.542903179653662,8.61650240781073,12.1182193901788,6.07049763244796e-20,1.27440643739555e-17,34.9535303126534
"PPBP",0.530582408274144,10.7534739493364,6.77673777744459,1.75217319145538e-09,1.57241274630537e-08,11.2033905235154
"C8orf44-SGK3",0.525190479666516,7.85044445488807,9.98409705083329,8.28412790928307e-16,4.17663551205823e-14,25.5554174021228
"FHL1",0.523512288859605,7.09058751678531,7.1651276953059,3.10404154622024e-10,3.38300902475714e-09,12.9030917679937
"NIBAN1",0.520092395683596,8.28575911699494,8.82994884064532,1.60565866164729e-13,4.08788565030917e-12,20.356752698988
"TMEM176B",0.519386585112176,10.4157443509687,2.34856220718768,0.0212610245396896,0.037103935712083,-4.3995203752761
"KCNF1",0.504371147586155,7.13286635319091,10.8966335356603,1.34837639731443e-17,1.13600711473741e-15,29.6212148581914
"MXRA7P1",0.499817602900531,7.74591710196965,5.50898789297585,4.07904046347946e-07,2.11653939122034e-06,5.87490754308485
"ADAM9",0.499427569863307,7.14769434914819,9.78790073628679,2.02150601231887e-15,9.02000208841655e-14,24.6746641066528
"NRGN",0.495055682184001,11.9146563063154,6.25562708943238,1.71915164709392e-08,1.23197851106238e-07,8.96556142420654
"AHR",0.481743068703112,9.36995069436735,11.8096569525552,2.34395839775439e-19,3.75209140520534e-17,33.6207209874781
"GRINA",0.476169888516141,10.2252909659617,6.93968372718046,8.49858994735433e-10,8.26998046092854e-09,11.913626669545
"ADI1",0.474370502912278,9.64529476776908,9.32316692231894,1.68339852984546e-14,5.65638802383795e-13,22.5823195843754
"ADAM17",0.466924887931733,8.0053123783477,10.6020039595094,5.06347023301167e-17,3.62250278234344e-15,28.3149005454957
"CPNE1",0.466674005315426,8.66266035991402,9.2269767500237,2.61262824851883e-14,8.28151419567629e-13,22.1484956876839
"TLK1",0.465559611634349,6.39796414773745,9.04316821024686,6.05430681203228e-14,1.7462038971821e-12,21.3191123684596
"GNG11",0.458458436985112,6.38222450725569,4.42290162647602,2.97521183929841e-05,0.000102641602408555,1.72643839309844
"MARCHF7",0.456311724052679,7.89167557426973,11.5376666655792,7.77394095079968e-19,9.3918007373529e-17,32.4376290307937
"PRKAR2B",0.456021655449852,7.83866869445188,4.22579269343179,6.15457323665517e-05,0.00019679267133235,1.03027750722584
"LTBP1",0.451474309714084,7.08723281551776,9.43069167875776,1.03020718561852e-14,3.71629104761429e-13,23.0670214495024
"CTNNB1",0.43980867402517,7.75187887794583,9.46630236248258,8.75644045099905e-15,3.25973768649691e-13,23.2274814140419
"MINK1",0.439039811098061,10.7476105142276,8.58027489417571,5.03088272781322e-13,1.1362519261442e-11,19.2302155490534
"PF4",0.435157689231101,9.89483587552173,4.68040389011348,1.1214173403277e-05,4.22254350492106e-05,2.66465361243904
"RFC5",0.433389951051123,4.50438349922855,8.68372538787448,3.13443368684203e-13,7.39218375574568e-12,19.6968854346259
"SEPTIN5",0.433070484338927,7.88059088246424,4.2210977638275,6.26067040607718e-05,0.000199736286049388,1.01393994491109
"PKN1",0.428741453894711,8.24481426847399,8.62284428281974,4.14089869767417e-13,9.50328830150814e-12,19.422224860625
"AP2B1",0.426815039613988,7.68061088455618,8.44568196981712,9.30854717921789e-13,1.97359694001762e-11,18.6234081726005
"CD99",0.413270531530648,11.8380464810524,10.6690113883662,3.74543212096961e-17,2.82141198477275e-15,28.6125883010206
"RABGAP1L",0.410654676234088,8.29959608696605,10.6232577151739,4.60148706866122e-17,3.32918889272743e-15,28.4093591356991
"ACAP2",0.409658487008162,9.019342291828,13.5092345236619,1.5687754318321e-22,9.56654199049616e-20,40.8261935499565
"NAMPTP1",0.406387563841641,9.38072436548639,5.50947121923463,4.07088698525965e-07,2.11316492635732e-06,5.8768544998589
"NFKB2",0.40586735683218,8.5187073593534,7.86110900002267,1.3383335330147e-11,2.11327980564565e-10,15.9964119027202
"C5AR1",0.403066030215413,11.7478871274218,6.38106571525042,9.96860461821314e-09,7.55372489590755e-08,9.49904853619211
"NCKAP1L",0.402018417870369,10.0926687671442,7.57682227900495,4.85896485164794e-11,6.47491195527612e-10,14.7269709799636
"CREBBP",0.398024494359037,8.35722690946415,14.6732214543923,1.28272113114365e-24,1.82516964504729e-21,45.5548239042151
"PDGFC",0.395532969773473,7.08924047976646,5.07495583038075,2.38644092170305e-06,1.04409847773588e-05,4.15971041331326
"BBX",0.394642222374332,6.59369118624656,7.26991068657357,1.93947279215629e-10,2.2436213709443e-09,13.365388001576
"SELP",0.394520087884563,7.08397101206101,7.27718150599194,1.87711585591846e-10,2.18133808084318e-09,13.3975186349234
"CSGALNACT2",0.394266685505695,8.21844091705593,8.50109211266007,7.22572969796341e-13,1.57368528081836e-11,18.8731664874078
"HMOX1",0.394006845316691,9.19553178009552,7.83544107359053,1.50392804529621e-11,2.35156319268171e-10,15.8815242207602
"LILRA3",0.393111683313251,8.85602606387909,3.86354648983476,0.000222856461500742,0.000626542227437652,-0.194939467752675
"RPL23AP82",0.392686477918563,5.08318156419673,7.77256718446709,2.00099424715552e-11,2.98656553951907e-10,15.600317929918
"UBQLN2",0.390321479667779,8.30837722520912,9.24263069361319,2.43223739413553e-14,7.76738954346624e-13,22.2191078763209
"CYTIP",0.386219445788688,8.78957735095971,9.43149445737824,1.0264384328503e-14,3.71315552855393e-13,23.0706391191555
"FAAP24",0.383483723649564,6.4806626122186,11.6625953553392,4.47799526639666e-19,6.37168970905285e-17,32.9819718969339
"CCR1",0.383084894329448,11.8451469937177,9.3121679422427,1.77014862171875e-14,5.87267441702859e-13,22.5327228723054
"WWP1",0.381202731503365,6.77333880975273,6.79463784741518,1.61861564050873e-09,1.46487575210988e-08,11.2811931734054
"HP",0.380831347709313,7.09692751032554,4.05250212488043,0.00011484153880257,0.000345956421055213,0.435077914097215
"CSGALNACT1",0.380244330956339,6.99232274273128,4.0351680490837,0.000122135644891582,0.000366206759185578,0.376441963738299
"SLC11A1",0.375899270658451,10.4425862714221,7.35283670956426,1.3355612430977e-10,1.61442972918543e-09,13.7322316130698
"NAMPT",0.373740466866897,6.82930071286708,4.83320557521896,6.20329038672359e-06,2.47706070135274e-05,3.23579119122675
"UBE2D1",0.370981352891079,9.02571432550122,10.1451202165057,3.98966847895787e-16,2.22137802354498e-14,26.2767951892629
"HSPB1",0.370609131532562,7.29313668190029,6.2770721606304,1.56657734419817e-08,1.13986303805692e-07,9.0565119135891
"BCL3",0.37041948800862,8.43622526885675,9.22588094095562,2.62574643034405e-14,8.30254537950268e-13,22.1435525279279
"NECAP1",0.365479290336397,7.59188369245869,11.3162618696838,2.07396692989467e-18,2.35037349594966e-16,31.4691557623596
"JUND",0.362801264268224,11.3087268778124,7.41669446663535,1.00157971692764e-10,1.24164858228222e-09,14.0152746015384
"DUSP6",0.360406359006719,12.1878735609194,10.119963054061,4.47165997931896e-16,2.46827921099821e-14,26.1641874202756
"SLC25A37",0.359471594389723,6.85195371038423,10.7100063348341,3.11503016686535e-17,2.41764098890168e-15,28.7945446945702
"APP",0.359053002475213,7.76449009345151,9.67093674044784,3.4436284493075e-15,1.44587232530596e-13,24.1487749953106
"MGAT4B",0.356048605824121,8.61391800806994,10.4538231935285,9.8748756462294e-17,6.65566618555861e-15,27.6554240667164
"PELI1",0.355863829559386,8.68546450458056,7.82405283087545,1.58379485952392e-11,2.45545726041929e-10,15.8305671235754
"PTGER4",0.354713187580323,9.32592086877536,9.09762987516056,4.71950636954066e-14,1.40534978551662e-12,21.564894886896
"MPL",0.353673041626907,5.45017803978381,7.53138581016144,5.96740056789999e-11,7.78192786889279e-10,14.5247574173972
"R3HDM2",0.353597751803079,8.3113291662257,11.5700100312882,6.73840781421268e-19,8.62920504688076e-17,32.5787061313999
"EIF1AX",0.353219301391127,8.13768210266016,9.96769384647987,8.92494687656371e-16,4.41285211201833e-14,25.4818533377255
"MMRN1",0.351883672175511,4.50434259622724,8.43714950805798,9.67872040274077e-13,2.04530847322605e-11,18.5849564221329
"AKT1",0.351638759434762,9.35766325843533,10.2171348153119,2.87897693139714e-16,1.69899440476828e-14,26.5989391780009
"RGCC",0.350813300118999,5.91472057306338,4.13538063202888,8.53755052252463e-05,0.000264726082303754,0.717716470470971
"SUN1",0.349652060298409,8.19790110511099,8.06195990204279,5.36471530758189e-12,9.2588334540288e-11,16.896965526744
"RAB11FIP1",0.349267114118387,8.85497210488317,9.60729760796285,4.60247415297831e-15,1.87316380260062e-13,23.8624169877027
"MAP1S",0.349205478621446,8.32267615287933,6.91111389932525,9.65084835879741e-10,9.29238827689922e-09,11.7887830680941
"CD55",0.348880804375725,8.96562741378251,5.62664022052257,2.501160707646e-07,1.35662278789134e-06,6.35108753473791
"FOSB",0.34839241988108,7.61128611053046,3.61907615020252,0.000510901700392949,0.00131615513482843,-0.978919685225824
"EHD3",0.347472634997229,5.83189675457516,6.94177670546765,8.41975894968904e-10,8.20436912920694e-09,11.9227775974105
"SLC16A7",0.344650124591239,5.6277283696093,7.6025279008683,4.32535052767005e-11,5.88633781693333e-10,14.8414623591038
"NFKBIA",0.342468020704917,11.8698255484057,6.81960692398356,1.44902517940789e-09,1.32639145443156e-08,11.3898137280163
"TBC1D2",0.341174768623342,6.83847403832427,10.0075516490419,7.44712144403241e-16,3.79951542678402e-14,25.6605808083669
"TMEM176A",0.340221414800407,11.1273212433069,2.59822967492033,0.0111125661868935,0.0208692656678924,-3.82237845273315
"SMARCC2",0.340109246672756,8.15886091615214,8.53988241241562,6.05145089881025e-13,1.34306551490752e-11,19.04806027262
"MFAP3L",0.340059856568539,4.25017679521735,3.16148973637982,0.00220240196913198,0.00490759694043922,-2.34416859625588
"FBXL5",0.338926391011679,10.8417822929297,11.9954958961142,1.03767476064231e-19,1.95418573305668e-17,34.424660921625
"BHLHE40",0.338645854743504,9.05430284914674,6.95308340350949,8.00628603066149e-10,7.85057418902382e-09,11.9722246991861
"GP1BA",0.338574638520793,7.29767851709246,6.2842031411146,1.51887166922386e-08,1.1089321890582e-07,9.0867787253379
"CHORDC1",0.337480261167277,7.27601005565909,9.23777634845787,2.4868016891519e-14,7.92188617693515e-13,22.1972112340363
"PROS1",0.335490982590964,4.69464923096568,6.05942190441647,4.00460617716738e-08,2.64754706787844e-07,8.13859418027109
"STK4",0.334463283534751,4.68884058027441,5.21030086890161,1.38499520155055e-06,6.35707833371195e-06,4.6871605387887
"KIDINS220",0.33419650152457,8.34786573770455,8.36607648984104,1.33924474299343e-12,2.70084538248406e-11,18.2647544010062
"ARMT1",0.333853331179145,6.97659207038185,9.03888081126649,6.17419621594e-14,1.77279723635264e-12,21.2997625783355
"P2RX1",0.331668274895247,9.90710939844599,6.51869529231948,5.46246351781943e-09,4.39123087314473e-08,10.08834815618
"C1orf174",0.33046600635866,7.27063426880835,9.48552257181362,8.02105462059055e-15,3.01224708126928e-13,23.3140715771791
"SNORA48",0.329589321370463,9.2453757497332,5.85841663122123,9.43415561492897e-08,5.64550452358787e-07,7.30172980014681
"TTC37",0.329265723961759,5.12473891704577,6.83510417216018,1.35276168675973e-09,1.25169553183852e-08,11.4572834297022
"EPS15",0.328087879616911,8.93990674171637,10.9477837468525,1.07240052447968e-17,9.1554407443245e-16,29.8472896171629
"HTR1E",0.327232258441056,5.80555721365773,16.863139044826,2.41436868055585e-28,1.03061351077328e-24,53.9667951364613
"RNF11",0.326142178052091,7.83136034968079,6.78427533634145,1.69465050321192e-09,1.52828833409379e-08,11.2361457247409
"NBEAL2",0.325809104010151,9.38782354202187,5.946268323993,6.49513682688638e-08,4.07279283033055e-07,7.66613959346363
"CDC42SE1",0.325402749264145,7.51924914205079,4.50610447157495,2.17752009329428e-05,7.71378210642505e-05,2.02613501454253
"YWHAE",0.324886535259477,11.5701643323092,5.56979831810249,3.16948474353662e-07,1.69047986779383e-06,6.12046977174531
"CXCL5",0.324564768415729,5.08847716993561,2.84519249860361,0.00560760808930456,0.0113445543746657,-3.20332613509433
"DVL3",0.324468265103724,7.39750543987975,6.89338130914429,1.04426941835273e-09,9.97978669509331e-09,11.7113615488758
"CNOT3",0.323335588229708,8.04404323003139,5.9155853127062,7.40124693540598e-08,4.5677285905932e-07,7.53862223036598
"H3P16",0.321880233954838,12.3107674165965,12.6960561790488,4.97197748433721e-21,1.59177859161056e-18,37.4209812667234
"JUN",0.321129608713861,6.25221807375875,7.12527242167328,3.71077478307251e-10,3.96331792093633e-09,12.7276362392228
"ZYX",0.320611075114645,13.0372293164474,5.70476576701948,1.80355071884667e-07,1.010335542675e-06,6.66971427414311
"HK3",0.320297044958513,11.7619167894867,7.79107618099873,1.83970829252888e-11,2.7814999284681e-10,15.6830681278959
"GRAP2",0.31900970101956,6.4185537805588,5.44882108416903,5.22985544045946e-07,2.64091201776514e-06,5.63315083185512
"NCOA2",0.318355401851428,6.8264247397026,9.38363472019169,1.27714146570491e-14,4.49315209060907e-13,22.8549324771374
"PYGL",0.317109357411086,9.1262442047983,8.23528922647458,2.43351856285509e-12,4.61683536532181e-11,17.6760100454406
"SNAP23",0.316943422925181,10.0150823056934,10.6981065744517,3.28616911682746e-17,2.51992106048458e-15,28.7417408305007
"NR4A2",0.315034060021275,5.73546780635156,6.30291541211829,1.40041151895169e-08,1.0318567267949e-07,9.16625702569835
"GAS2L1",0.314344691071547,8.41857151790538,6.69692730205192,2.49363280063883e-09,2.16058603822604e-08,10.8571851305792
"MYL9",0.313310020105833,6.84704104712199,4.49210587712258,2.29541891044757e-05,8.09337405484349e-05,1.97547650842902
"PPIF",0.313106538362321,9.42518882564271,7.55220830399515,5.43122293153603e-11,7.13356316525646e-10,14.6174018545087
"CBX5",0.312662779210338,8.12474503128971,10.3489991581476,1.58541115851729e-16,1.00013671408731e-14,27.1879816873247
"ZMIZ1",0.31232315653201,9.59904813380546,7.72023477551399,2.53734831611828e-11,3.69241847002394e-10,15.3665005873175
"PBX2",0.311738671204735,8.3047653164396,7.26215549656221,2.00825551084502e-10,2.31900090819489e-09,13.3311241642945
"CAPZA1",0.310517137750859,10.796340396137,9.47651363639174,8.35771035815061e-15,3.12037431039291e-13,23.2734862163895
"TSPYL1",0.309957055767022,7.80551215818871,8.22759472066253,2.52049826282979e-12,4.77477821801749e-11,17.6413951238238
