X,bioType
HCP5,lncRNA
LINC02574,lncRNA
TBC1D3P1-DHX40P1,lncRNA
PRORY,lncRNA
LINC00623,lncRNA
SNHG14,lncRNA
FAM30A,lncRNA
EPB41L4A-DT,lncRNA
LINC01963,lncRNA
MUC20-OT1,lncRNA
DLEU2,lncRNA
HLA-F-AS1,lncRNA
RFPL3S,lncRNA
DTX2P1-UPK3BP1-PMS2P11,lncRNA
KIAA0087,lncRNA
LINC02249,lncRNA
RNASE2CP,lncRNA
FAM215A,lncRNA
ADD3-AS1,lncRNA
NEAT1,lncRNA
LINC00652,lncRNA
FAM224B,lncRNA
LINC01278,lncRNA
RFPL1S,lncRNA
TTTY2B,lncRNA
PINK1-AS,lncRNA
GS1-600G8.3,lncRNA
FAM242F,lncRNA
PDCD4-AS1,lncRNA
BTG2-DT,lncRNA
C3orf36,lncRNA
ERICH2-DT,lncRNA
LINC00342,lncRNA
PVT1,lncRNA
CT62,lncRNA
SNHG3,lncRNA
DGCR5,lncRNA
ATXN8OS,lncRNA
MAPKAPK5-AS1,lncRNA
HAND2-AS1,lncRNA
KHDRBS2-OT1,lncRNA
MCF2L-AS1,lncRNA
HHLA3,lncRNA
MGC4859,lncRNA
DYNC1LI2-DT,lncRNA
HCG18,lncRNA
VASH1-AS1,lncRNA
ZNF567-DT,lncRNA
BAALC-AS1,lncRNA
CASC19,lncRNA
TTTY1B,lncRNA
PRKCZ-AS1,lncRNA
DSCR4,lncRNA
LINC01260,lncRNA
LINC02172,lncRNA
GABPB1-IT1,lncRNA
HK2-DT,lncRNA
IDI2-AS1,lncRNA
DGCR11,lncRNA
KCNQ1DN,lncRNA
NDUFB2-AS1,lncRNA
ZNF213-AS1,lncRNA
LINC01949,lncRNA
FAM182B,lncRNA
DELEC1,lncRNA
ZNRD1ASP,lncRNA
CSPG4P1Y,lncRNA
CPS1-IT1,lncRNA
PARM1-AS1,lncRNA
ENTPD1-AS1,lncRNA
SNHG20,lncRNA
ANKRD42-DT,lncRNA
LINC01711,lncRNA
PKD1L1-AS1,lncRNA
CDKN2B-AS1,lncRNA
SMIM10L1,lncRNA
TP53TG1,lncRNA
MEG3,lncRNA
HCG9,lncRNA
MIR9-1HG,lncRNA
GAS8-AS1,lncRNA
MAGEA10-MAGEA5,lncRNA
GSN-AS1,lncRNA
SLC22A18AS,lncRNA
RNF185-AS1,lncRNA
DDR1-DT,lncRNA
ELOA-AS1,lncRNA
ZNNT1,lncRNA
MGC16275,lncRNA
KCNK4-TEX40,lncRNA
HEXIM2-AS1,lncRNA
THAP9-AS1,lncRNA
