"","Beta.ANOVA","Beta.Characteristics","Beta.State","Beta.RNAdeg","Beta.batch","P.ANOVA","P.Characteristics","P.State","P.RNAdeg","P.batch","FDR.ANOVA","FDR.Characteristics","FDR.State","FDR.RNAdeg","FDR.batch"
"greenyellow",NA,-0.183701372462909,-2.22435060130956e-14,-0.0104372018607099,0.183701372462699,2.62070365408817e-11,1.01091178856045e-20,0.999999999999301,0.733810589593853,0.2047414680988,1.87193118149155e-10,1.68485298093409e-19,0.999999999999963,0.999999999999963,0.44509014804087
"magenta",NA,-0.130235648153908,-1.82466260263675e-14,-0.00739948607709161,0.130235648153708,5.1965032239587e-05,1.44976429250417e-08,0.999999999999427,0.809522176957972,0.479691655105816,0.000173216774131957,7.24882146252083e-08,0.999999999999963,0.999999999999963,0.888317879825585
"brown",NA,0.193968636329032,-2.40464464418914e-14,0.0110205481191104,-0.193968636329264,1.06914477271403e-13,2.32015879268359e-25,0.999999999999245,0.719533157735722,0.148096951501993,8.90953977261688e-13,5.80039698170897e-24,0.999999999999963,0.999999999999963,0.341243415710881
"blue",NA,0.195847333164026,-2.6611214538965e-14,0.0111272884063332,-0.195847333164285,3.13082892944294e-14,2.12976560565062e-26,0.999999999999164,0.716930869016121,0.13785462994274,3.13082892944294e-13,1.06488280282531e-24,0.999999999999963,0.999999999999963,0.341243415710881
"tan",NA,0.137903606015357,-2.90751296860629e-14,0.00783514979751892,-0.137903606015633,1.36628830069707e-05,1.12132151049743e-09,0.999999999999087,0.798537504776735,0.44334313538245,5.25495500268104e-05,6.22956394720793e-09,0.999999999999963,0.999999999999963,0.852582952658558
"pink",NA,-0.163372694695654,-1.16523946818044e-15,-0.00928220499086757,0.16337269469565,3.95445178824616e-08,1.44557418848435e-14,0.999999999999963,0.762342805372691,0.314984650886452,1.79747808556644e-07,1.80696773560543e-13,0.999999999999963,0.999999999999963,0.656218022680108
"black",NA,-0.102467313751231,-2.10643022903031e-14,-0.00582179663636895,0.102467313751025,0.00227454064612487,1.91673140802171e-05,0.999999999999338,0.849595311301805,0.603597522968309,0.00710793951914021,6.84546931436324e-05,0.999999999999963,0.999999999999963,0.999999999999963
"turquoise",NA,-0.0505306918957109,-3.40595927906297e-14,-0.00287095859417208,0.0505306918953934,0.150147102912787,0.0438449103068776,0.99999999999893,0.925499821447811,0.811893147455721,0.341243415710881,0.121791417519105,0.999999999999963,0.999999999999963,0.999999999999963
"green",NA,0.068268528218768,-3.12799303309156e-14,0.003878753870805,-0.06826852821907,0.0492843446473568,0.00588999302949121,0.999999999999017,0.899466404789274,0.743296241312321,0.129695643808834,0.0173235089102683,0.999999999999963,0.999999999999963,0.999999999999963
"salmon",NA,0.140540536904615,-2.45460564402324e-14,0.00798497001722037,-0.140540536904858,8.31499630948862e-06,4.32280778157675e-10,0.999999999999229,0.79476889202556,0.430605642572134,3.46458179562026e-05,2.70175486348547e-09,0.999999999999963,0.999999999999963,0.852582952658558
