"","LINC00342","GS1-600G8.3","RFPL3S","MCF2L-AS1","DELEC1","KIAA0087","RNF185-AS1","ZNNT1","DDR1-DT","SNHG3","FAM182B","KCNK4-TEX40","TTTY1B","HEXIM2-AS1","FAM215A","ADD3-AS1","SMIM10L1","LINC00623","ENTPD1-AS1","BTG2-DT","MAGEA10-MAGEA5","DTX2P1-UPK3BP1-PMS2P11","ELOA-AS1","HHLA3","C3orf36","riskscore"
"GSM1369835",4.48398750352161,5.50828518523468,5.37681556275315,6.47088162132986,5.31928096093435,4.67878128783334,6.35759356099664,6.2455695138619,4.49507995640429,4.85870129365195,6.09725880350958,7.16698889785619,6.41211231847821,6.31176626293381,6.39199264201116,6.50447846610791,5.20256487100623,7.64277134513584,6.94122838601036,6.38193692379824,5.20797992747823,11.4314202104648,6.0194025688191,5.02345272919295,6.23081337079039,4.70331968386637
"GSM1369834",4.39639790264909,5.58983543717411,5.36091135610696,6.32911491531544,5.32309790668929,4.66876652184526,6.2922551184812,6.19117781383211,4.43801355316594,4.76418040703593,6.07625136210607,6.97497352578451,6.36632237178235,6.36089884509537,6.36493488001113,6.46366128295293,4.92209599856154,7.49768097319899,6.67686996798313,6.27720231606104,5.30450564228639,11.1226983081523,5.97215149436753,5.00704035856151,6.06556625153395,4.70187720901476
"GSM1369833",4.51696518912071,5.55204594103678,5.25954871841482,6.46500198758692,5.18094358646387,4.76331743320004,6.21175254731748,6.2436707191671,4.49909036804591,4.70487622594103,6.00952274716188,7.18145280658818,6.36291344961836,6.25329925211716,6.39036813180638,6.39824177803002,5.16591567453009,7.47559553360539,6.98167408321537,6.41094264144202,5.23199438710904,10.9925336666364,6.06661429553251,5.08308926130697,6.12789580628061,4.71125271191533
"GSM1369832",4.35119334904947,5.52576369070827,5.26333779670731,6.25744608330142,5.36145442388343,4.71045470079592,6.28787588599112,5.99066449152305,4.37885074048137,4.9245468797454,6.179559321353,7.0294244534477,6.31436901531767,6.09344909354105,6.2493817122546,6.42011330672287,5.26121300018578,7.34525161057678,6.66408231786014,6.44856655980157,5.17147078243852,11.2053193167967,5.99407712416584,5.13410377959353,6.11390606666374,4.64172845340262
"GSM1369831",4.41007771242811,5.59100903521944,5.30861716153043,6.28798716736675,5.35461729649661,4.69889771517145,6.4257141209354,6.07336225511387,4.48742068822797,4.7931297629055,6.1170098875793,7.24206257679606,6.32076272593435,6.11585042540299,6.47666370945809,6.58747017924926,4.95265765186384,7.32690480272931,6.795127409019,6.50063253962392,5.24392561801988,11.0481642673886,6.07926480982721,5.06141940228328,6.1718725519733,4.66634435967003
"GSM1369830",4.35246350790139,5.6112461968852,5.30617975149003,6.30809581229596,5.31338001599677,4.75698069476224,6.22612627041478,6.09129426569749,4.38802268816192,4.75729900372971,6.11286502492487,7.17709947658376,6.40124379390129,6.34673389166382,6.47624547196516,6.45343764933286,5.00006855698552,7.26916231421791,6.79180002971714,6.61161064990083,5.23041915993336,11.0463324806341,6.32276263234799,5.07917395512176,6.24081716833143,4.65029005581962
"GSM1369829",4.44131985774046,5.52498458258913,5.15377991157269,6.20981863617902,5.24808093915098,4.77653562450306,6.16134830912613,6.03708979774358,4.44817525926636,4.79943360822072,6.01813552147422,6.84170166486754,6.31106110066212,6.02705010643506,6.23565385328448,6.3612054481023,5.22274045630718,7.37619957442019,6.62041862030481,6.1538162261778,5.17091739889797,10.8522453869548,5.78914226786781,5.13152027565782,5.91138693933676,4.72149763007943
"GSM1369828",4.49708583977765,5.62946628359364,5.17453673235156,6.38510463016712,5.29330111633553,4.6919093147813,6.28307963343969,6.10896265485675,4.36464139023768,4.75241109165563,6.08674758775766,6.93506923337545,6.45604266285374,6.19480523485762,6.14144485956835,6.31487382340514,5.08243856649327,7.34980047098201,6.76074699436893,6.31236086327998,5.22614602255158,11.1251655049846,6.05320156474407,5.03892234603996,6.08030148801602,4.64880406064332
"GSM1369827",4.42592362305453,5.54817198823638,5.27892507527201,6.32959868993499,5.29358063869408,4.73743253569959,6.24835604684591,6.12465119243439,4.44375930127757,4.80514463520084,6.07608644996961,7.06193001310255,6.37480573768058,6.22851675367762,6.36796398908698,6.43970718784774,5.14179129476637,7.42937774459139,6.78448234534415,6.38245459995901,5.20310549543656,11.1099993593512,6.04376915634503,5.07804898665755,6.12767249281958,4.69170245658849
"GSM1369826",4.42592362305465,5.5481719882365,5.27892507527213,6.32959868993513,5.29358063869419,4.7374325356997,6.24835604684604,6.12465119243454,4.44375930127767,4.80514463520096,6.07608644996975,7.06193001310272,6.37480573768071,6.22851675367778,6.36796398908711,6.43970718784786,5.14179129476653,7.42937774459158,6.78448234534431,6.38245459995915,5.20310549543667,11.1099993593515,6.04376915634516,5.07804898665767,6.12767249281971,4.6917024565886
