X,coef
LINC00342,0.8002748
GS1-600G8.3,0.6872726
RFPL3S,0.6006064
MCF2L-AS1,0.4863595
DELEC1,-0.4702492
KIAA0087,0.4505298
RNF185-AS1,-0.4241444
ZNNT1,-0.4183785
DDR1-DT,-0.4024198
SNHG3,0.3898127
FAM182B,-0.3745907
KCNK4-TEX40,-0.3580534
TTTY1B,-0.3128157
HEXIM2-AS1,-0.3090772
FAM215A,0.3072438
ADD3-AS1,0.2987963
SMIM10L1,-0.2890783
LINC00623,0.2336486
ENTPD1-AS1,-0.1888936
BTG2-DT,0.1751811
MAGEA10-MAGEA5,-0.1469998
DTX2P1-UPK3BP1-PMS2P11,0.1418474
ELOA-AS1,-0.1399028
HHLA3,0.1236985
C3orf36,0.1197514
