,Stage,organism_ch1,characteristics_ch1,RNAdeg,batch
GSM308047,MD1,Homo sapiens,male,5.26755242,09/26/06 
GSM308048,MD2,Homo sapiens,male,5.897548397,09/26/06 
GSM308049,MD3,Homo sapiens,male,4.724430878,09/26/06 
GSM308050,MD4,Homo sapiens,male,3.135736193,09/26/06 
GSM308051,MD5,Homo sapiens,male,2.549557356,09/26/06 
GSM308052,MD1,Homo sapiens,male,5.868014301,09/26/06 
GSM308053,MD2,Homo sapiens,male,4.41277019,09/26/06 
GSM308054,MD3,Homo sapiens,male,3.878644195,09/26/06 
GSM308055,MD4,Homo sapiens,male,3.350747172,09/26/06 
GSM308056,MD5,Homo sapiens,male,3.075668241,09/26/06 
GSM308057,MD1,Homo sapiens,male,5.674327961,09/26/06 
GSM308058,MD2,Homo sapiens,male,4.569511604,09/26/06 
GSM308059,MD3,Homo sapiens,male,2.994984991,09/26/06 
GSM308060,MD4,Homo sapiens,male,3.63213675,09/26/06 
GSM308061,MD5,Homo sapiens,male,3.477142106,09/26/06 
GSM308062,MD2,Homo sapiens,male,3.921201343,09/26/06 
GSM308063,MD3,Homo sapiens,male,3.642925391,09/26/06 
GSM308064,MD4,Homo sapiens,male,4.081312635,09/26/06 
GSM308065,MD5,Homo sapiens,male,3.929162209,09/26/06 
