,substanceBXH,geneSymbol,LocusLinkID,moduleColor,GS.Factor,p.GS.Factor,MM.grey,p.MM.grey,MM.blue,p.MM.blue,MM.brown,p.MM.brown,MM.greenyellow,p.MM.greenyellow,MM.pink,p.MM.pink,MM.salmon,p.MM.salmon,MM.tan,p.MM.tan,MM.magenta,p.MM.magenta,MM.black,p.MM.black,MM.green,p.MM.green,MM.turquoise,p.MM.turquoise
SLC6A12,SLC6A12,SLC6A12,6539,black,0.738077676,5.66759E-15,0.700717213,4.62741E-13,0.607370762,2.323E-09,0.718913746,5.92297E-14,-0.659791737,2.80834E-11,-0.52661403,5.23214E-07,0.641207228,1.48019E-10,0.424327469,8.75891E-05,-0.527783209,4.88511E-07,-0.44233861,3.98823E-05,0.28668088,0.009932966,-0.08101026,0.475011183
LTBP1,LTBP1,LTBP1,4052,black,-0.727342085,2.1623E-14,-0.690520277,1.3709E-12,-0.696071331,7.63243E-13,-0.677742196,5.02896E-12,0.563071335,5.42138E-08,0.549777728,1.27855E-07,-0.458210348,1.92012E-05,-0.685065794,2.4069E-12,0.43361279,5.871E-05,0.8605087,1.48196E-24,-0.242711097,0.030063258,0.08134246,0.473196149
CLDN5,CLDN5,CLDN5,7122,black,-0.715254065,9.07097E-14,-0.706739294,2.3844E-13,-0.704732694,2.9794E-13,-0.619763785,8.80359E-10,0.632493426,3.10592E-10,0.621490423,7.66445E-10,-0.453346404,2.41152E-05,-0.509405356,1.39548E-06,0.288663912,0.009410095,0.762500453,2.08124E-16,-0.120353807,0.287597798,0.178680536,0.11278352
MMRN1,MMRN1,MMRN1,22915,black,-0.69634849,7.40991E-13,-0.68480848,2.47093E-12,-0.691310985,1.26218E-12,-0.641313764,1.46662E-10,0.595805689,5.53686E-09,0.507426269,1.55683E-06,-0.39171629,0.000326643,-0.760015833,2.96524E-16,0.400193306,0.000235004,0.804740253,2.39888E-19,-0.114752618,0.310784196,-0.021544827,0.849550546
ITGA2B,ITGA2B,ITGA2B,3674,black,-0.686582795,2.06065E-12,-0.659487706,2.88846E-11,-0.707212322,2.2618E-13,-0.646431361,9.38403E-11,0.521996655,6.84388E-07,0.675807849,6.08808E-12,-0.429772505,6.93714E-05,-0.539098961,2.48051E-07,0.227527209,0.042382805,0.834767793,6.54577E-22,-0.183133776,0.10394923,0.3371383,0.002227748
PCSK6,PCSK6,PCSK6,5046,black,-0.683036959,2.95829E-12,-0.644630374,1.09914E-10,-0.649006482,7.47167E-11,-0.474899541,8.55225E-06,0.543812918,1.85659E-07,0.530599447,4.13638E-07,-0.311992836,0.004842647,-0.463545336,1.48948E-05,0.220591724,0.049266969,0.59140672,7.63592E-09,-0.246924801,0.027236159,0.197503241,0.079077771
DNAJC6,DNAJC6,DNAJC6,9829,black,-0.667598918,1.34859E-11,-0.611857996,1.64277E-09,-0.64592927,9.80793E-11,-0.436375711,5.20036E-05,0.480439927,6.4767E-06,0.496666351,2.78888E-06,-0.43227699,6.22326E-05,-0.496740834,2.77784E-06,0.195876445,0.0816293,0.549140871,1.33096E-07,-0.187950282,0.095011325,0.162979194,0.148608174
SELP,SELP,SELP,6403,black,-0.649648309,7.05672E-11,-0.586588611,1.0799E-08,-0.61802247,1.01153E-09,-0.543336064,1.91219E-07,0.46022107,1.74572E-05,0.530916035,4.05936E-07,-0.309997241,0.005136411,-0.539535241,2.41533E-07,0.219688892,0.050227261,0.878391422,1.00111E-26,-0.162394177,0.150091001,0.182352855,0.105458147
MPL,MPL,MPL,4352,black,-0.645313632,1.03528E-10,-0.654813247,4.43348E-11,-0.675490552,6.2811E-12,-0.621968476,7.37487E-10,0.556626666,8.25617E-08,0.583968747,1.30079E-08,-0.394746726,0.000290665,-0.618703439,9.58152E-10,0.291918563,0.008604024,0.833328055,8.91933E-22,-0.081292077,0.473471182,0.122123209,0.280517602
FHL1,FHL1,FHL1,2273,black,-0.626747004,5.00021E-10,-0.606855127,2.41652E-09,-0.661574542,2.37975E-11,-0.592673578,6.96423E-09,0.466348292,1.30121E-05,0.621411501,7.71329E-10,-0.534191975,3.33807E-07,-0.550276539,1.23888E-07,0.208323437,0.063685187,0.866963009,2.65424E-25,-0.089724727,0.428658059,0.263224904,0.018320974
EHD3,EHD3,EHD3,30845,black,-0.602908958,3.26108E-09,-0.523855832,6.14542E-07,-0.542021693,2.07374E-07,-0.604021315,2.99811E-09,0.382748433,0.000458397,0.497089724,2.72665E-06,-0.413584701,0.000137169,-0.496448545,2.82141E-06,0.313202008,0.004671991,0.861792,1.0601E-24,-0.078162489,0.49072317,0.181125496,0.107864057
RNF11,RNF11,RNF11,NA,black,-0.597439684,4.90765E-09,-0.513579282,1.10541E-06,-0.516222123,9.52245E-07,-0.684528055,2.54257E-12,0.405754249,0.00018844,0.522055959,6.82048E-07,-0.468273158,1.18507E-05,-0.472261265,9.74622E-06,0.418998303,0.000109624,0.865837024,3.60595E-25,-0.173367087,0.124070978,0.223100691,0.046677376
SAV1,SAV1,SAV1,60485,black,-0.596504053,5.25906E-09,-0.566692152,4.26348E-08,-0.561784736,5.90048E-08,-0.569828741,3.45428E-08,0.488573182,4.26852E-06,0.561778168,5.90303E-08,-0.356610254,0.001166801,-0.394515708,0.000293274,0.29970759,0.006915965,0.683357797,2.86366E-12,-0.109568646,0.333291776,0.211968858,0.059082592
