"","GSM1571226","GSM1571227","GSM1571228","GSM1571229","GSM1571230","GSM1571231"
"Blank",-3.201089,-3.3130424,-3.3219352,-3.2173674,-2.922176,-3.2908218
"dmr_285",11.331649,10.731291,10.382636,10.678291,10.678291,10.209587
"dmr_3",14.256536,14.256536,13.596235,14.032306,13.773225,13.596235
"dmr_308",-3.201089,-3.3130424,-3.3219352,-3.2173674,-2.922176,-3.2908218
"dmr_316",-3.201089,-3.3130424,-3.3219352,-3.2173674,-2.922176,-3.2908218
"dmr_31a",11.463376,11.034929,10.678291,10.889814,10.889814,10.26411
"dmr_6",11.159315,10.577112,10.148445,10.577112,10.614943,10.148445
"hsa-let-7a-3p",-3.201089,-3.3130424,-3.3219352,-3.2173674,-2.922176,-3.2908218
"hsa-let-7a-5p",9.995197,10.26411,10.517939,10.382636,10.517939,11.159315
"hsa-let-7b-3p",-3.201089,-3.3130424,-3.3219352,-3.2173674,4.3626738,-3.2908218
"hsa-let-7b-5p",10.678291,10.889814,11.034929,11.159315,11.159315,12.615854
"hsa-let-7c",6.3919096,6.8352914,6.849226,6.863626,7.00068,8.138814
"hsa-let-7d-3p",-3.201089,-3.3130424,-3.3219352,-3.2173674,4.890335,-3.2908218
"hsa-let-7d-5p",8.138814,8.342259,8.367694,8.512207,8.655901,9.761267
"hsa-let-7e-3p",-3.201089,-3.3130424,-3.3219352,-3.2173674,4.056705,-3.2908218
"hsa-let-7e-5p",1.7521441,1.8211396,1.4294677,1.3203875,-2.922176,2.2311141
"hsa-let-7f-1-3p",-3.201089,-1.654532,-3.3219352,-3.2173674,-2.922176,-3.2908218
"hsa-let-7f-2-3p",-3.201089,-3.3130424,-3.3219352,-3.2173674,-2.922176,-3.2908218
"hsa-let-7f-5p",9.510344,9.566904,9.654469,9.510344,9.761267,10.517939
"hsa-let-7g-3p",-3.201089,-3.3130424,-3.3219352,-3.2173674,-2.922176,-3.2908218
"hsa-let-7g-5p",9.566904,9.761267,9.734384,9.654469,9.846437,10.577112
"hsa-let-7i-3p",-3.201089,-3.3130424,-3.3219352,-3.2173674,-2.922176,-3.2908218
"hsa-let-7i-5p",9.654469,9.995197,9.995197,9.995197,10.056194,10.889814
"hsa-miR-1",-3.201089,-3.3130424,-3.3219352,-3.2173674,-2.922176,-3.2908218
"hsa-miR-100-3p",-3.201089,-3.3130424,-3.3219352,-3.2173674,-2.922176,-3.2908218
"hsa-miR-100-5p",-3.201089,-3.3130424,-3.3219352,-3.2173674,-2.922176,-3.2908218
"hsa-miR-101-3p",4.3016357,4.5903893,4.4677167,5.237637,4.8636217,5.6551685
"hsa-miR-101-5p",-3.201089,-3.3130424,-3.3219352,-3.2173674,-2.922176,-3.2908218
"hsa-miR-103a-2-5p",-3.201089,-3.3130424,-3.3219352,-3.2173674,-2.922176,-3.2908218
"hsa-miR-103a-3p",8.028569,8.16435,8.138814,8.352059,8.741488,9.050616
"hsa-miR-103b",-3.201089,-3.3130424,-3.3219352,-3.2173674,-2.922176,-3.2908218
"hsa-miR-105-3p",-3.201089,-3.3130424,-3.3219352,-3.2173674,-2.922176,-3.2908218
