"","GSM2419971","GSM2419972","GSM2419973"
"hsa-let-7a-3p",-3.3219311,-3.207091,-3.0736556
"hsa-let-7a-5p",0.28414452,-3.207091,-3.0736556
"hsa-let-7b-3p",-3.3219311,-3.207091,-3.0736556
"hsa-let-7b-5p",3.7367656,3.3136203,4.003834
"hsa-let-7c",-1.7196413,-3.207091,-3.0736556
"hsa-let-7d-3p",3.3136203,2.719685,3.1970615
"hsa-let-7d-5p",-1.369831,-3.207091,-3.0736556
"hsa-let-7e-3p",-3.3219311,-3.207091,-3.0736556
"hsa-let-7e-5p",-3.3219311,-3.207091,-3.0736556
"hsa-let-7f-1-3p",-3.3219311,-3.207091,-3.0736556
"hsa-let-7f-2-3p",-3.3219311,-3.207091,-3.0736556
"hsa-let-7f-5p",-1.428937,-3.207091,-3.0736556
"hsa-let-7g-3p",-3.3219311,-3.207091,-3.0736556
"hsa-let-7g-5p",2.7643566,2.007399,-3.0736556
"hsa-let-7i-3p",-3.3219311,-3.207091,-3.0736556
"hsa-let-7i-5p",4.9698143,4.7903647,4.4453325
"hsa-miR-1",-3.3219311,-3.207091,-3.0736556
"hsa-miR-100-3p",-3.3219311,-3.207091,-3.0736556
"hsa-miR-100-5p",-3.3219311,-3.207091,-3.0736556
"hsa-miR-101-3p",3.8707795,3.9138272,3.9650717
"hsa-miR-101-5p",-3.3219311,-3.207091,-3.0736556
"hsa-miR-103a-2-5p",-3.3219311,-3.207091,-3.0736556
"hsa-miR-103a-3p",3.9449072,3.9650717,3.7932544
"hsa-miR-103b",-3.3219311,-3.207091,-3.0736556
"hsa-miR-105-3p",-3.3219311,-3.207091,-3.0736556
"hsa-miR-105-5p",-3.3219311,-3.207091,-3.0736556
"hsa-miR-106a-3p",-3.3219311,-3.207091,-3.0736556
"hsa-miR-106b-3p",-3.3219311,-3.207091,-3.0736556
"hsa-miR-106b-5p",5.256756,5.6723576,6.321444
"hsa-miR-107",5.5651917,5.1085143,4.9318933
"hsa-miR-10a-3p",-3.3219311,-3.207091,-3.0736556
"hsa-miR-10a-5p",-3.3219311,-3.207091,-3.0736556
"hsa-miR-10b-3p",-3.3219311,-3.207091,-3.0736556
"hsa-miR-10b-5p",-1.623035,-3.207091,-3.0736556
"hsa-miR-1178-3p",-3.3219311,-3.207091,-3.0736556
"hsa-miR-1178-5p",-3.3219311,-3.207091,-3.0736556
"hsa-miR-1179",-3.3219311,-3.207091,-3.0736556
"hsa-miR-1180",-1.7154264,-3.207091,-3.0736556
"hsa-miR-1181",4.7507153,5.3147936,5.1965594
"hsa-miR-1182",4.827251,4.565673,4.1656704
"hsa-miR-1183",4.8675337,4.890602,4.5243926
"hsa-miR-1184",-3.3219311,-3.207091,-3.0736556
"hsa-miR-1185-1-3p",4.7903647,4.9733887,4.6292014
"hsa-miR-1185-2-3p",3.6976626,3.9449072,3.4913318
"hsa-miR-1185-5p",-3.3219311,-3.207091,-3.0736556
"hsa-miR-1193",-3.3219311,-3.207091,-3.0736556
"hsa-miR-1197",-3.3219311,-3.207091,-3.0736556
"hsa-miR-1200",-3.3219311,-3.207091,-3.0736556
"hsa-miR-1202",10.816939,10.841746,10.17838
"hsa-miR-1203",-3.3219311,-3.207091,-3.0736556
"hsa-miR-1204",-3.3219311,-3.207091,-3.0736556
"hsa-miR-1205",-3.3219311,-3.207091,-3.0736556
"hsa-miR-1206",-3.3219311,-3.207091,-3.0736556
"hsa-miR-1207-3p",-3.3219311,-3.207091,-3.0736556
"hsa-miR-1207-5p",10.841746,10.414512,10.414512
"hsa-miR-1208",2.5938458,2.1544275,-3.0736556
"hsa-miR-122-3p",-3.3219311,-3.207091,-3.0736556
"hsa-miR-122-5p",2.54431,3.810272,3.8568783
"hsa-miR-1224-3p",-3.3219311,-3.207091,-3.0736556
"hsa-miR-1224-5p",5.2268353,4.901353,4.872682
"hsa-miR-1225-3p",3.0620103,3.3020809,2.9837327
"hsa-miR-1225-5p",10.414512,10.445773,9.8059025
"hsa-miR-1226-3p",-3.3219311,-3.207091,-3.0736556
"hsa-miR-1226-5p",5.3357415,4.872682,4.0167317
"hsa-miR-1227-3p",-3.3219311,-3.207091,-3.0736556
"hsa-miR-1227-5p",6.4013696,6.1285615,7.032603
"hsa-miR-1228-3p",2.9127893,3.6546688,3.5522776
"hsa-miR-1228-5p",-1.9172742,-3.207091,-3.0736556
"hsa-miR-1229-3p",0.48319444,0.4701872,-3.0736556
"hsa-miR-1229-5p",9.485444,9.112738,8.074169
"hsa-miR-1231",-3.3219311,-3.207091,-3.0736556
"hsa-miR-1233-1-5p",3.1826735,0.28414452,2.0436354
"hsa-miR-1234-3p",0.4809004,2.54431,-3.0736556
"hsa-miR-1234-5p",12.159297,12.159297,11.897646
"hsa-miR-1236-3p",-3.3219311,-3.207091,-3.0736556
"hsa-miR-1236-5p",4.0737176,4.4050045,4.763835
"hsa-miR-1237-3p",-1.6729913,0.28996348,-3.0736556
"hsa-miR-1237-5p",-3.3219311,-3.207091,-3.0736556
"hsa-miR-1238-3p",-1.3436624,0.5978092,-3.0736556
"hsa-miR-1238-5p",0.1439616,-3.207091,-3.0736556
"hsa-miR-124-3p",-3.3219311,-3.207091,-3.0736556
"hsa-miR-124-5p",-3.3219311,-3.207091,-3.0736556
"hsa-miR-1243",-3.3219311,-3.207091,-3.0736556
"hsa-miR-1244",-3.3219311,-3.207091,-3.0736556
"hsa-miR-1245a",-3.3219311,-3.207091,-3.0736556
"hsa-miR-1245b-3p",-3.3219311,-3.207091,-3.0736556
"hsa-miR-1245b-5p",-3.3219311,-3.207091,-3.0736556
"hsa-miR-1246",8.180164,6.6621666,6.038949
"hsa-miR-1247-3p",0.28043637,2.5726235,-3.0736556
"hsa-miR-1247-5p",-3.3219311,-3.207091,-3.0736556
"hsa-miR-1248",-3.3219311,-3.207091,-3.0736556
"hsa-miR-1249",3.2738156,3.8707795,3.1663105
"hsa-miR-1250",-3.3219311,-3.207091,-3.0736556
"hsa-miR-1251",-3.3219311,-3.207091,-3.0736556
"hsa-miR-1252",-3.3219311,-3.207091,-3.0736556
"hsa-miR-1253",-3.3219311,-3.207091,-3.0736556
"hsa-miR-1254",-1.4711337,-3.207091,-3.0736556
"hsa-miR-1255a",-3.3219311,-3.207091,-3.0736556
"hsa-miR-1255b-2-3p",-3.3219311,-3.207091,-3.0736556
"hsa-miR-1255b-5p",-3.3219311,-3.207091,-3.0736556
"hsa-miR-1256",-3.3219311,-3.207091,-3.0736556
"hsa-miR-1257",-3.3219311,-3.207091,-3.0736556
"hsa-miR-1258",-3.3219311,-3.207091,-3.0736556
"hsa-miR-125a-3p",4.261028,4.9498367,5.543581
"hsa-miR-125a-5p",-3.3219311,-3.207091,-3.0736556
"hsa-miR-125b-1-3p",-3.3219311,-3.207091,1.8040142
"hsa-miR-125b-2-3p",-3.3219311,-3.207091,-3.0736556
"hsa-miR-125b-5p",-3.3219311,-3.207091,-3.0736556
"hsa-miR-126-3p",4.565673,4.589204,4.7507153
"hsa-miR-126-5p",-1.679952,-3.207091,-3.0736556
"hsa-miR-1260a",-1.5023723,1.8491573,2.7956212
"hsa-miR-1260b",0.5992049,2.2491386,3.4446106
