"","GSM1550052","GSM1550053","GSM1550054","GSM1550055","GSM1550056","GSM1550057","GSM1550058","GSM1550059","GSM1550060","GSM1550061"
"1367452_st",1.04647327303886,1.50551919896651,1.11031042880285,1.39544892569328,1.39475277996833,1.11315193019963,1.08449509062354,1.10358108853586,0.982518143903597,1.30320886738577
"1367453_st",1.33720740405002,1.15195994486656,1.42630262674784,1.37331962178627,1.27044670088563,1.33078150611389,1.24402000383065,1.65862812758911,1.12257366356651,1.34014768946682
"1367454_st",1.27641807796698,1.19063585809597,1.049768649774,1.15015154583903,1.67425829116959,1.51195653306283,0.982707255848926,1.08337585006069,1.23109337428134,1.43879777273448
"1367455_st",1.43213330753855,1.3927107822304,1.33118669216958,1.13212454844953,1.44880447363413,1.64283152377684,1.61455844698347,1.64716300733622,1.44433715000032,1.11226320337941
"1367456_st",1.3401342265227,1.01938259127042,1.28046754050249,1.318738283491,1.2697204579053,1.68851005682794,1.2346026445549,1.12581596693841,1.37054927165088,1.25490420399384
"1367457_st",1.59547933458987,1.34735995579512,1.51071375920372,1.20901333492477,1.37085649841962,1.33086751897058,1.73393964598716,1.41844708624856,1.33079225052462,1.34665063370233
"1367458_st",1.34894070572987,1.17256010377473,1.56649192503529,1.4276208254632,1.61464835996,1.41728774206897,1.47000365036213,1.26717779302623,1.32815449067964,1.25888118768168
"1367459_st",1.2832591873966,1.27572829239213,1.08431434317898,1.19399574788577,1.07449958744801,1.2694741764454,1.10723497966614,1.23360017013548,1.19399574788577,1.56668128221461
"1367460_st",1.19418813432752,1.25240957200369,1.32562908625597,1.13832076097905,1.29763558915478,1.48623138568292,1.25765209725718,1.22198924498695,1.11226320337941,1.2331743385884
"1367461_st",1.38704586284593,1.17805675493622,1.34434719750185,1.30531331833957,1.57073917474567,1.23849436700694,1.24692122021209,1.5023473685097,1.57786154086802,1.79875726250508
"1367462_st",1.48075933426516,1.2010832597776,1.37346009889252,1.09101298650437,1.29983761545711,1.31116542325978,1.27905785993105,1.12922825645511,0.981190862729773,1.13444398914681
"1367463_st",1.20496213909135,1.21523415312569,1.5185330080532,1.36225849340082,1.22867371228489,1.40862282524977,1.25262145879735,1.30327074334434,1.20187561548582,1.23302751532406
"1367464_st",1.17997702367525,1.39684551704833,1.39266803934952,1.13259910948895,1.42670976261796,1.34501665592803,1.3964767159163,1.43688663292308,1.1311956822716,1.35418691128561
"1367465_st",1.24378265445528,1.25460361930548,1.39165343409561,1.28801792069586,1.08555669705717,1.29688236844437,1.49907104140303,1.24378265445528,1.09361714409015,1.24378265445528
"1367466_st",0.881463023006496,1.48799417618631,1.20811922090371,1.29458285018055,1.28580901783115,0.988669932958636,1.14334646333877,1.31834632683585,1.54496654176626,2.10787626174479
"1367467_st",1.59865739075458,1.35784810510553,1.15576629836063,1.11226320337941,1.3190225883895,1.43069936363059,1.08804232232059,1.02384051033784,1.13044027776795,0.806484597905982
"1367468_st",1.65974967401284,1.16978811913998,1.19094979802271,1.29680408959115,2.00778724215128,1.05869307945604,1.30143303684795,1.2727290827045,1.41343697475071,1.47874897466509
"1367469_st",1.52092867607476,1.41340318942738,1.22378683813941,1.15651934797295,1.30086777835547,1.25829182506166,1.23409208257713,1.40426413928737,1.2726460812944,1.36834468828796
"1367470_st",1.40524506287153,1.19845039205555,1.4754719386303,1.41892641756635,1.08103530885485,0.939619405960149,1.34438801303925,1.20648558697647,1.55668357570335,1.4123520813281
"1367471_st",1.25190429569582,1.15588512330634,1.48301403219599,1.39437508759297,1.25326760371866,1.56434933928827,1.2163314573393,1.49917408837159,1.28738195273377,1.50681822009023
"1367472_st",1.27227598258948,1.24380968130508,1.10896120387985,1.6202315645355,1.43938066035769,1.26622018335827,1.0424808911333,1.04010666050084,1.03598990213658,1.19399574788577
"1367473_st",1.39688857833044,1.33086751897058,1.73898064852038,1.30008620298194,1.45831216038005,1.28699987657163,1.4754719386303,1.41483941427616,1.53989036383868,1.38584698585026
"1367474_st",1.14066005370492,1.22761868208167,1.19038712651184,1.12434468180399,1.3666214008901,1.15860467275889,1.34078911952285,1.12696016364099,1.25190153894243,1.41134326995715
"1367475_st",1.2764530816648,1.16136679156131,1.66864387080459,1.24032068206585,1.47540030329481,1.32759619108245,1.41121896119718,1.29506994959083,1.03862074295514,1.38013570123782
"1367476_st",1.59779346020386,1.21775519553271,1.70453567262607,1.5534565779758,1.23871226211557,1.09172580871457,1.30143303684795,0.943092075219693,1.22502830169777,1.28580901783115
"1367477_st",1.0887895389258,1.21301376275003,1.32864500565852,1.34583089549296,1.43764416543834,0.990883822358164,1.43059905024048,1.83308825750758,1.21535341083607,1.32747601719455
"1367478_st",1.11834940371794,1.56388819321185,1.19399574788577,1.18290240147509,1.42946041274223,1.12791933450619,1.24784388893417,1.21207322105092,1.19206278620909,1.20643408493357
"1367479_st",1.35199818393416,1.34265324808672,1.57529963781109,1.37837584623999,1.3567274843628,1.28343135817683,1.4754719386303,1.49493119675547,1.35440899399804,1.53547956938627
"1367480_st",1.17556886386726,1.32398006553439,1.31954361418939,1.47550442516044,0.847884335046531,1.32967715815962,1.78508243314162,1.14901253786793,1.28968586215723,1.26897151061727
"1367481_st",1.19399574788577,1.33086751897058,1.19062722858545,1.60039539147195,1.33650764993597,1.33597474290369,1.34208000071439,1.2032121618744,1.35819538989775,1.03240127118735
"1367482_st",1.43432173419968,1.27580890217177,1.49556835961949,1.18841173801327,1.28580901783115,1.29848964066005,1.38893205087708,1.31816443194306,1.43504810933359,1.8295952122508
"1367483_st",1.38280264483454,1.14804135327791,1.65136590190858,1.45788348942175,1.56858584781016,1.33086751897058,1.11039700944229,1.48084745489571,1.30411531353143,1.32235613479863
"1367484_st",1.05787622840138,1.47804609339797,1.50720970762908,1.18052684787884,1.58656380071955,1.30278295973012,1.28152477143173,1.27695451330733,1.17514318558467,1.45640888837614
"1367485_st",1.27947350239502,1.41400992285576,1.22186720427043,1.36809034869286,1.03687532897851,1.38409221852995,1.16709611069005,1.24449551541087,1.44063211920609,1.3461521595558
"1367486_st",1.11834940371794,1.35633787661251,1.47891663220937,1.04068461607552,0.831133032054048,1.51687135865069,1.57075778819348,1.35364919327671,1.06014095142018,1.14878131121287
"1367487_st",1.03062189913835,0.971279814563723,1.19399574788577,1.79714899632665,1.19399574788577,1.53397321271252,1.20878936377361,1.25073050601164,1.11682891015029,1.11226320337941
"1367488_st",1.00401231320818,1.23787934997956,0.928365969040349,1.06924548088212,1.19399574788577,1.07623674868068,1.05959021448923,1.21511184697307,1.09708433235842,0.992814518710893
"1367489_st",1.15176929761518,1.149664362455,1.09416620702307,1.12920437525734,1.09483363283449,1.08874743249596,1.1878736828543,1.56890652339998,1.31764764645163,1.75472163940124
