,GSM1550052,GSM1550053,GSM1550054,GSM1550055,GSM1550056,GSM1550057,GSM1550058,GSM1550059,GSM1550060,GSM1550061
1367452,1.046473273,1.505519199,1.110310429,1.395448926,1.39475278,1.11315193,1.084495091,1.103581089,0.982518144,1.303208867
1367453,1.337207404,1.151959945,1.426302627,1.373319622,1.270446701,1.330781506,1.244020004,1.658628128,1.122573664,1.340147689
1367454,1.276418078,1.190635858,1.04976865,1.150151546,1.674258291,1.511956533,0.982707256,1.08337585,1.231093374,1.438797773
1367455,1.432133308,1.392710782,1.331186692,1.132124548,1.448804474,1.642831524,1.614558447,1.647163007,1.44433715,1.112263203
1367456,1.340134227,1.019382591,1.280467541,1.318738283,1.269720458,1.688510057,1.234602645,1.125815967,1.370549272,1.254904204
1367457,1.595479335,1.347359956,1.510713759,1.209013335,1.370856498,1.330867519,1.733939646,1.418447086,1.330792251,1.346650634
1367458,1.348940706,1.172560104,1.566491925,1.427620825,1.61464836,1.417287742,1.47000365,1.267177793,1.328154491,1.258881188
1367459,1.283259187,1.275728292,1.084314343,1.193995748,1.074499587,1.269474176,1.10723498,1.23360017,1.193995748,1.566681282
1367460,1.194188134,1.252409572,1.325629086,1.138320761,1.297635589,1.486231386,1.257652097,1.221989245,1.112263203,1.233174339
1367461,1.387045863,1.178056755,1.344347198,1.305313318,1.570739175,1.238494367,1.24692122,1.502347369,1.577861541,1.798757263
1367462,1.480759334,1.20108326,1.373460099,1.091012987,1.299837615,1.311165423,1.27905786,1.129228256,0.981190863,1.134443989
1367463,1.204962139,1.215234153,1.518533008,1.362258493,1.228673712,1.408622825,1.252621459,1.303270743,1.201875615,1.233027515
1367464,1.179977024,1.396845517,1.392668039,1.132599109,1.426709763,1.345016656,1.396476716,1.436886633,1.131195682,1.354186911
1367465,1.243782654,1.254603619,1.391653434,1.288017921,1.085556697,1.296882368,1.499071041,1.243782654,1.093617144,1.243782654
1367466,0.881463023,1.487994176,1.208119221,1.29458285,1.285809018,0.988669933,1.143346463,1.318346327,1.544966542,2.107876262
1367467,1.598657391,1.357848105,1.155766298,1.112263203,1.319022588,1.430699364,1.088042322,1.02384051,1.130440278,0.806484598
1367468,1.659749674,1.169788119,1.190949798,1.29680409,2.007787242,1.058693079,1.301433037,1.272729083,1.413436975,1.478748975
1367469,1.520928676,1.413403189,1.223786838,1.156519348,1.300867778,1.258291825,1.234092083,1.404264139,1.272646081,1.368344688
1367470,1.405245063,1.198450392,1.475471939,1.418926418,1.081035309,0.939619406,1.344388013,1.206485587,1.556683576,1.412352081
1367471,1.251904296,1.155885123,1.483014032,1.394375088,1.253267604,1.564349339,1.216331457,1.499174088,1.287381953,1.50681822
1367472,1.272275983,1.243809681,1.108961204,1.620231565,1.43938066,1.266220183,1.042480891,1.040106661,1.035989902,1.193995748
1367473,1.396888578,1.330867519,1.738980649,1.300086203,1.45831216,1.286999877,1.475471939,1.414839414,1.539890364,1.385846986
1367474,1.140660054,1.227618682,1.190387127,1.124344682,1.366621401,1.158604673,1.34078912,1.126960164,1.251901539,1.41134327
1367475,1.276453082,1.161366792,1.668643871,1.240320682,1.475400303,1.327596191,1.411218961,1.29506995,1.038620743,1.380135701
1367476,1.59779346,1.217755196,1.704535673,1.553456578,1.238712262,1.091725809,1.301433037,0.943092075,1.225028302,1.285809018
1367477,1.088789539,1.213013763,1.328645006,1.345830895,1.437644165,0.990883822,1.43059905,1.833088258,1.215353411,1.327476017
1367478,1.118349404,1.563888193,1.193995748,1.182902401,1.429460413,1.127919335,1.247843889,1.212073221,1.192062786,1.206434085
1367479,1.351998184,1.342653248,1.575299638,1.378375846,1.356727484,1.283431358,1.475471939,1.494931197,1.354408994,1.535479569
1367480,1.175568864,1.323980066,1.319543614,1.475504425,0.847884335,1.329677158,1.785082433,1.149012538,1.289685862,1.268971511
1367481,1.193995748,1.330867519,1.190627229,1.600395391,1.33650765,1.335974743,1.342080001,1.203212162,1.35819539,1.032401271
1367482,1.434321734,1.275808902,1.49556836,1.188411738,1.285809018,1.298489641,1.388932051,1.318164432,1.435048109,1.829595212
1367483,1.382802645,1.148041353,1.651365902,1.457883489,1.568585848,1.330867519,1.110397009,1.480847455,1.304115314,1.322356135
1367484,1.057876228,1.478046093,1.507209708,1.180526848,1.586563801,1.30278296,1.281524771,1.276954513,1.175143186,1.456408888
1367485,1.279473502,1.414009923,1.221867204,1.368090349,1.036875329,1.384092219,1.167096111,1.244495515,1.440632119,1.34615216
1367486,1.118349404,1.356337877,1.478916632,1.040684616,0.831133032,1.516871359,1.570757788,1.353649193,1.060140951,1.148781311
1367487,1.030621899,0.971279815,1.193995748,1.797148996,1.193995748,1.533973213,1.208789364,1.250730506,1.11682891,1.112263203
1367488,1.004012313,1.23787935,0.928365969,1.069245481,1.193995748,1.076236749,1.059590214,1.215111847,1.097084332,0.992814519
1367489,1.151769298,1.149664362,1.094166207,1.129204375,1.094833633,1.088747432,1.187873683,1.568906523,1.317647646,1.754721639
1367490,1.436268042,1.056229778,1.259552623,1.193995748,1.176294511,1.098681538,1.222630833,1.026457102,1.168441239,1.026457102
1367491,1.48401334,1.272719454,1.600739378,1.238323099,1.221357624,1.330940892,1.547482887,1.290316505,1.659210117,1.357092201
1367492,1.087651936,1.186515367,1.091959004,1.496851072,1.202382396,1.409662522,1.255120322,1.373365795,1.01022646,1.289585288
1367493,1.220904481,1.369122064,1.368775261,1.232250293,1.421920742,1.124759554,1.339687581,1.303703887,1.310900626,1.971825899
1367494,1.759072901,1.357111605,1.406417569,1.357111605,1.406417569,1.950148417,1.754727541,1.598151575,1.367150586,1.333935607
1367495,1.179449224,1.141200365,1.342637452,1.235457386,1.37271335,1.446000377,1.171600669,1.440878078,1.609449756,1.010281088
1367496,1.124258786,1.048824197,1.277042203,1.317823531,1.806391835,1.187741632,1.113136178,1.23188184,1.124607271,1.623025513
1367497,1.18659894,1.125112763,1.193995748,1.028372983,1.132061038,1.073100434,1.239276947,1.193995748,1.255411399,1.262878733
1367498,1.342920453,1.398418609,1.413307791,1.506120267,1.336874638,1.165268962,1.485535294,1.319357212,1.753868006,1.374460253
1367499,1.336488095,1.268686994,1.127819786,1.368090349,1.284176027,1.517369936,1.21285573,1.386336214,1.240391617,1.44048994
1367500,1.137668065,1.15738083,1.143986755,1.045039296,1.243638705,1.038652866,1.113987733,1.233038244,1.232675281,1.193995748
1367501,1.5485805,1.330867519,1.374610423,1.177645862,1.395709513,1.460640784,1.224212363,1.33949691,1.452970585,1.387040971
1367502,1.404798994,1.179743492,1.271040612,1.132543291,1.560059885,1.355927368,1.195985028,1.326570252,1.316486609,1.382582518
1367503,1.125308185,1.196315342,1.160071586,1.210687794,1.118349404,1.038089384,0.940272356,1.292398917,1.199002036,1.211249478
1367504,1.288947807,0.946947946,0.881463023,1.353931014,1.189071361,1.156272684,1.547625254,1.210297474,1.335515123,1.27388148
1367505,1.049794441,1.456882612,1.32301663,1.323022934,1.092566237,1.140084109,1.045386884,1.045386884,1.329442528,1.745642662
1367506,1.178972318,1.521407762,1.223825242,1.272646081,1.194538329,1.008368582,1.321587159,1.031760185,1.416735923,1.857578424
1367507,1.395314311,1.05177076,1.264085023,1.254678302,1.335912165,1.408825966,0.978796261,1.291240748,1.333530954,1.283673857
1367508,1.201864363,1.193995748,1.193995748,1.193995748,1.193995748,1.122240914,1.336997912,1.193995748,1.193995748,1.085085787
1367509,1.436943351,1.310578161,1.066370731,1.108685556,1.048761925,1.436943351,1.201042641,1.214950484,1.267992982,1.404010428
1367510,1.201406999,1.204871679,1.189424181,1.461338641,1.333593641,1.044488801,1.420133529,1.22446235,1.151398938,1.421010174
1367511,1.141121254,1.272646081,1.245217923,1.191279459,1.497996232,1.42251792,1.251725278,1.78588714,1.302588106,1.193384551
1367512,1.436268042,1.136022178,1.193995748,1.154361741,1.193995748,1.330867519,0.952955777,1.193995748,1.153990258,1.285809018
1367513,1.118349404,1.197149879,1.199683558,1.519753196,1.388387778,1.187197359,1.208245091,1.272646081,1.514565357,1.940768093
1367514,1.07012276,1.084238627,1.133906671,1.277027286,1.138693127,1.367611711,1.135805008,1.433421128,1.347933108,1.243758207
1367515,1.270107385,1.282179172,1.207693752,1.201607552,1.207693752,0.998398331,1.183783447,1.241850402,1.418518586,1.283340096
1367516,1.181226162,1.278845101,1.437369392,1.197112556,1.407187509,1.318242602,1.295452535,1.365930751,1.621055673,1.037054133
1367517,1.054720188,1.258545009,1.179231863,1.258545009,1.406909574,1.317318925,1.121833724,1.180447154,1.372386517,1.131456018
1367518,1.193995748,1.176339642,0.927456432,1.193995748,1.167680904,1.291957419,1.183304923,1.193995748,1.288634485,1.193995748
1367519,1.14284308,1.164441689,1.325629086,1.193995748,1.305179822,1.333390345,1.478616968,1.146953865,1.288659465,1.834136683
1367520,1.429335476,1.283815003,1.0332274,1.205502624,0.827527741,1.356039439,1.104720155,1.383866706,1.068567711,1.62696176
1367521,1.399910004,1.478160622,1.515638439,1.404810592,1.335937519,1.233245692,0.859984786,1.620416187,1.234162248,1.559125281
1367522,1.138360442,1.034181376,1.23477908,1.312455043,1.474153746,0.865240853,1.118892781,1.23477908,1.216915915,1.591964842
1367523,1.057701301,1.260714977,1.182032331,1.457883489,1.883763516,1.308488542,1.475471939,1.007488082,1.233010113,1.336361321
1367524,1.2721718,1.142542121,1.260840131,1.312247964,1.196525456,1.201431228,1.180751441,1.20079713,1.358958424,1.193995748
1367525,1.466331457,1.193995748,1.223923103,1.335454684,1.261759138,1.330867519,1.192259866,1.129904008,1.246031563,1.222208261
1367526,1.06513064,1.488933495,1.184855429,1.175244172,1.178918198,0.903877863,1.342348537,1.441953257,1.315276234,1.261732211
1367527,1.309498571,1.218639632,1.363793871,1.47991138,1.530650887,1.263153645,1.360122953,1.445635555,1.226039206,1.482739161
1367528,1.236709297,1.215599271,1.23454531,1.252710683,1.185934987,1.265990065,1.610397521,1.265002646,1.199774785,1.227993148
1367529,1.28700121,1.0796143,1.150243947,0.931083928,1.421616578,1.03576979,1.118795036,0.960877935,1.089309886,1.181123156
1367530,1.282654596,1.681484932,1.282654596,1.314438277,1.39701789,1.114610481,1.046202418,1.209772885,1.228729146,1.580689106
1367531,1.193995748,1.137962322,1.168550686,1.117502335,1.360915338,1.309544365,1.443113133,0.955571259,1.426535456,1.193995748
1367532,1.396575858,1.319259028,1.238861853,1.193995748,1.040003628,1.236189161,1.353089016,1.082382738,1.213165997,1.26923911
1367533,1.307488649,1.177288731,1.475471939,1.335617374,1.61464836,1.193858418,1.208789364,1.574417008,1.193995748,1.936572583
1367534,1.324128262,1.330867519,1.096070182,0.98773377,1.220126379,0.912295826,1.122182013,1.118349404,1.139513854,0.952955777
1367535,1.577915578,1.197877314,0.999708779,1.239902383,1.341917338,1.11811439,1.284993999,1.090268112,1.167166195,1.253910739
1367536,1.502009191,1.206381629,1.076205533,0.942870659,1.207293209,1.413969657,1.206381629,1.37235983,1.376978657,1.773296212
1367537,1.411870055,1.202194862,1.367224044,1.457883489,1.14840475,1.277242549,1.832033415,1.08526107,1.619608807,1.058638233
1367538,1.307634577,1.278201685,1.108021602,1.346453563,1.078354896,0.984309801,1.299174984,1.007643625,1.645368005,1.157691664
1367539,1.224584206,1.312495989,1.113885144,0.964485332,1.285809018,1.338565263,1.261846705,1.201485614,1.224584206,1.336612979
1367540,1.157425112,1.392383351,1.505001007,1.429606181,1.320214727,1.385874217,1.083846063,1.248857777,1.736305107,1.25551158
1367541,1.354408994,1.138060314,1.252556714,1.15103554,1.590575475,1.16404086,1.071393499,1.353656406,1.759920817,1.486743796
1367542,1.410813667,1.195497743,1.189027211,1.355250181,1.103118314,1.25371918,1.296717353,1.157849515,1.176355509,1.264673555
1367543,1.001035643,1.160666076,1.117495982,1.091291622,1.149975528,1.384045053,1.27325572,1.288036048,1.274269137,1.315122267
1367544,1.133300199,1.14394543,1.2817114,1.097200513,1.476647703,1.528601852,1.23602296,0.973895734,0.982908121,1.192150759
1367545,1.252953145,1.62231296,1.391622032,0.939742947,1.18490188,1.242848749,1.529034804,1.107712472,1.039662072,1.193995748
1367546,1.317998776,1.301152874,1.624114589,1.396597141,1.334255293,1.055361925,1.528782038,1.673990445,1.715004437,1.184665584
1367547,1.219236797,1.294883141,1.224063496,1.235997082,1.257727226,1.328138512,1.041780873,1.17616667,1.39637996,1.294883141
1367548,1.351925025,1.321832544,1.367445909,1.457883489,1.104158625,1.367445909,1.310015089,1.31914386,1.444446295,1.292823864
1367549_a,1.30500361,1.272646081,1.275689181,1.409850538,1.25555386,1.269602981,1.388932051,1.112911037,1.329411465,1.193109568
