"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"hsa-miR-1281",1.8498846758054,4.41529148666487,3.33751232676103,0.00358046803146557,0.135834005943725,-1.74253307632022
"hsa-miR-1825",1.33069353300811,1.71450936305757,1.55693326511484,0.136524117432105,0.593534702110898,-4.8368467296691
"hsa-miR-574-5p",1.16925522032528,7.81521200698579,3.23129986825558,0.00453453997581249,0.144866619227273,-1.95095167357479
"hsa-miR-483-3p",1.07873759294522,0.258111699515498,1.3315875222051,0.199262469481609,0.648594929523819,-5.12235926641109
"hsa-miR-193a-5p",1.07391251648107,2.67561085806697,1.60063872398224,0.126490899522034,0.58696696309363,-4.77754589331391
"hsa-miR-4298",0.983308651367813,8.35473637867778,3.13152130990728,0.00565536139478004,0.167844848548438,-2.14548335961692
"hsa-miR-3141",0.858484046699566,7.10745843540987,2.68911492422495,0.0148026147466841,0.263966263581078,-2.98692080283466
"hsa-miR-548d-5p",0.690352747780114,-0.354626469793912,1.32231726871979,0.202269513266163,0.648594929523819,-5.13334373608559
"hsa-miR-4270",0.644187280533343,8.43656396467203,1.75518632723939,0.0958677799146497,0.524249931605337,-4.55837941136601
"hsa-miR-378c",0.631546913480482,4.17151007695624,1.26789866580436,0.22064835854006,0.653493302693833,-5.19655626171608
"hsa-miR-3149",0.61486826580153,0.436639567349203,3.4116396742677,0.003034538225428,0.131568907345342,-1.59639359347456
"hsa-miR-532-5p",0.587563106297976,4.63794236713855,1.02152664689634,0.320252673932676,0.739113174326711,-5.45437203911115
"hsa-miR-1249",0.586837974075628,3.00998173598316,2.27668319881209,0.0349692985051144,0.345230303306418,-3.72481979862618
"hsa-miR-502-3p",0.567756782914307,3.14709578180688,1.32002113958548,0.203019829669729,0.648594929523819,-5.13605480886317
"hsa-miR-532-3p",0.554039262102438,2.83981960113863,1.2941997049703,0.211609405697807,0.648721763932166,-5.16627731849665
"hsa-miR-574-3p",0.53598833906071,6.54453832500881,1.66175642601404,0.113508908575301,0.546824662739742,-4.692603817907
"hsa-miR-1207-5p",0.520696517163065,8.75265278091509,1.32117908890059,0.20264116741922,0.648594929523819,-5.13468808090537
"hsa-miR-4286",0.492273632006389,6.6551834470209,0.924542344851813,0.36717434827515,0.760664946767974,-5.54243185691027
"hsa-miR-4284",0.423799185433123,4.64753493798436,1.77287878074312,0.0928085665490434,0.517621841363581,-4.53238628151682
"hsa-miR-940",0.395751913487149,3.87179159351007,2.76966592907715,0.0124554577191399,0.263966263581078,-2.83686843042589
"hsa-miR-362-5p",0.386219269509639,2.95743004547134,0.752220633133447,0.461436224290197,0.831708133698455,-5.6790481187935
"hsa-miR-188-5p",0.369624429874352,4.98617913930102,1.6927157856038,0.107377884925913,0.534248984836306,-4.64870200527457
"hsa-miR-762",0.362087921685498,8.22920912703979,0.840902057812178,0.411200965428531,0.787825059072675,-5.61197284874952
"hsa-miR-361-5p",0.349056502790306,6.78348382703597,0.75415688290499,0.460301000415104,0.831708133698455,-5.67765796450838
"hsa-miR-2861",0.341215676855471,9.91953609455452,0.996147476100164,0.332102742187718,0.750298857687589,-5.47817302827467
"hsa-miR-542-5p",0.334849503343353,0.214533568599986,0.661284855001242,0.516627747088175,0.852155006745984,-5.74053922378149
"hsa-miR-423-5p",0.334193149201511,7.38246442888037,1.56537399459187,0.134536126012328,0.593534702110898,-4.82548944571483
"hsa-miR-1908",0.319928815597317,2.77821011856414,1.122096166822,0.27625554318416,0.703758574544916,-5.35489926375482
"hsa-miR-4281",0.307924387203869,9.06895684913957,0.796384607484998,0.43596677152856,0.809293437125379,-5.646511156326
"hsa-miR-1470",0.305263105616904,-0.753287452147608,3.92997353216265,0.000947416900137047,0.103421110944973,-0.566054271060866
