,logFC,AveExpr,t,P.Value,adj.P.Val,B
hsa-miR-767-5p,0.268416717,-0.87150914,4.459424039,0.000288705,0.103421111,0.484328804
hsa-miR-3182,0.201374187,-0.895553934,4.095418509,0.00065296,0.103421111,-0.236590583
hsa-miR-3143,0.230569924,-0.779114788,4.035914844,0.000746461,0.103421111,-0.355014418
hsa-miR-1286,0.29809148,-0.799206511,3.932840856,0.000941322,0.103421111,-0.560340284
hsa-miR-1470,0.305263106,-0.753287452,3.929973532,0.000947417,0.103421111,-0.566054271
hsa-miR-1254,-0.727024213,-0.412563584,-3.861525878,0.001105217,0.103421111,-0.702470511
hsa-miR-508-3p,0.269563119,-0.886793563,3.827690452,0.001192665,0.103421111,-0.769905137
hsa-miR-1257,0.214928657,-0.820809435,3.741657743,0.001447381,0.109820017,-0.941319674
hsa-miR-513a-3p,-0.331122352,-0.716911436,-3.636072896,0.001835093,0.123766852,-1.151463998
hsa-miR-4295,0.243909445,-0.833086355,3.549068152,0.002230847,0.12793604,-1.324303308
hsa-miR-4287,0.219030792,-0.851955663,3.531890571,0.002318446,0.12793604,-1.358381124
hsa-miR-580,0.210308955,-0.849498612,3.45333646,0.002764413,0.131568907,-1.513982193
hsa-miR-874,-1.186331993,3.637151026,-3.443586527,0.002825368,0.131568907,-1.533264643
hsa-miR-3149,0.614868266,0.436639567,3.411639674,0.003034538,0.131568907,-1.596393593
hsa-miR-608,0.2026776,-0.837059261,3.378568073,0.003267152,0.132210766,-1.661655037
hsa-miR-1281,1.849884676,4.415291487,3.337512327,0.003580468,0.135834006,-1.742533076
hsa-miR-586,0.191130437,-0.864174507,3.274175566,0.004122618,0.144866619,-1.866969529
hsa-miR-4328,0.24572048,-0.881556073,3.25561696,0.004296207,0.144866619,-1.903347565
hsa-miR-574-5p,1.16925522,7.815212007,3.231299868,0.00453454,0.144866619,-1.950951674
hsa-miR-4298,0.983308651,8.354736379,3.13152131,0.005655361,0.167844849,-2.14548336
hsa-miR-587,0.26341944,-0.787774299,3.119547579,0.005806823,0.167844849,-2.168734294
hsa-miR-525-5p,0.19242638,-0.878334008,3.075206209,0.006402914,0.176662213,-2.254647596
hsa-miR-410,-0.765188112,-0.370946842,-3.042420426,0.006881535,0.181612697,-2.317969756
hsa-miR-4326,0.236317502,-0.837546148,3.017111767,0.007274603,0.183986833,-2.366727124
hsa-miR-934,0.210494337,-0.801022289,2.881582797,0.009778766,0.23742845,-2.625812628
hsa-miR-583,-0.599283468,-0.679067419,-2.810162173,0.011414431,0.263966264,-2.760828723
hsa-miR-940,0.395751913,3.871791594,2.769665929,0.012455458,0.263966264,-2.83686843
hsa-miR-891a,0.213238498,-0.846329358,2.725254352,0.013701565,0.263966264,-2.919803124
hsa-miR-4263,0.187218044,-0.820309183,2.690218829,0.014767767,0.263966264,-2.984875702
hsa-miR-3141,0.858484047,7.107458435,2.689114924,0.014802615,0.263966264,-2.986920803
hsa-miR-1206,0.16863568,-0.895224703,2.687214772,0.014862782,0.263966264,-2.990440277
hsa-miR-1197,0.189417711,-0.78589452,2.681567934,0.015042963,0.263966264,-3.000893721
hsa-miR-1537,0.206727058,-0.792074904,2.678205446,0.015151242,0.263966264,-3.00711432
hsa-miR-3153,0.201208237,-0.867276863,2.658915003,0.015786917,0.263966264,-3.042742642
hsa-miR-450b-5p,0.223749245,-0.716450924,2.641035181,0.016398702,0.263966264,-3.075674591
hsa-miR-3144-5p,0.176734093,-0.855788363,2.636086325,0.016571976,0.263966264,-3.084773931
hsa-miR-3128,-0.415227477,-0.691403312,-2.619613693,0.017161347,0.263966264,-3.115011987
hsa-miR-369-5p,-0.345172422,-0.693539367,-2.613997838,0.017366783,0.263966264,-3.125303093
hsa-miR-649,0.153978652,-0.880137443,2.603529947,0.017755958,0.263966264,-3.144461354
hsa-miR-4308,0.140322937,-0.921428687,2.601914999,0.017816729,0.263966264,-3.147414194
hsa-miR-489,0.148230524,-0.855359255,2.595921598,0.018043993,0.263966264,-3.158366131
hsa-miR-922,0.163963518,-0.804083979,2.56400163,0.019301345,0.263966264,-3.216515643
hsa-miR-3130-5p,-0.322503369,-0.716906085,-2.560826592,0.019430847,0.263966264,-3.222282996
hsa-miR-515-3p,0.174148337,-0.924647282,2.559461816,0.019486764,0.263966264,-3.224761126
hsa-miR-3179,0.151492906,-0.839978953,2.557457458,0.019569163,0.263966264,-3.228399568
hsa-miR-1246,-1.383097762,6.017463896,-2.531161395,0.020681123,0.272900905,-3.276019578
hsa-miR-34c-5p,0.143152074,-0.918647507,2.506419675,0.021781549,0.276061464,-3.320627343
hsa-miR-628-5p,-0.462931236,-0.425184292,-2.505352537,0.021830231,0.276061464,-3.322546944
hsa-miR-3190-3p,-0.226756286,-0.675709486,-2.483894641,0.022831117,0.278848608,-3.361068011
hsa-miR-4301,0.160142055,-0.871176253,2.480999686,0.022969408,0.278848608,-3.366253532
hsa-miR-4310,0.220523324,-0.751502966,2.428390438,0.025623678,0.30477585,-3.460001217
hsa-miR-3144-3p,0.153271432,-0.846231937,2.416020541,0.026288191,0.30477585,-3.481906845
hsa-miR-1273c,-0.324931911,1.749671737,-2.410109343,0.0266114,0.30477585,-3.492356043
