"","rownames(datExpr)","affy_hg_u133a","ensembl_gene_id","entrezgene_id","external_gene_name","hgnc_symbol","mirbase_id","chromosome_name","start_position","end_position","gene_biotype"
"322","1007_s_at","1007_s_at","ENSG00000234078",780,"DDR1","DDR1","","CHR_HSCHR6_MHC_MANN_CTG1",30925624,30944801,"protein_coding"
"3724","1053_at","1053_at","ENSG00000049541",5982,"RFC2","RFC2","","7",74231499,74254458,"protein_coding"
"4589","117_at","117_at","ENSG00000173110",NA,"HSPA6","HSPA6","","1",161524540,161526894,"protein_coding"
"4844","121_at","121_at","ENSG00000125618",7849,"PAX8","PAX8","","2",113215997,113278921,"protein_coding"
"3058","1255_g_at","1255_g_at","ENSG00000048545",2978,"GUCA1A","GUCA1A","","6",42155406,42181338,"protein_coding"
"5200","1294_at","1294_at","ENSG00000182179",7318,"UBA7","UBA7","","3",49805209,49813953,"protein_coding"
"3956","1316_at","1316_at","ENSG00000126351",7067,"THRA","THRA","","17",40058290,40093867,"protein_coding"
"940","1320_at","1320_at","ENSG00000070778",11099,"PTPN21","PTPN21","","14",88465778,88555007,"protein_coding"
"265","1405_i_at","1405_i_at","ENSG00000274233",6352,"CCL5","CCL5","","CHR_HSCHR17_7_CTG4",35871491,35880793,"protein_coding"
"3658","1431_at","1431_at","ENSG00000130649",1571,"CYP2E1","CYP2E1","","10",133520406,133561220,"protein_coding"
"3591","1438_at","1438_at","ENSG00000182580",2049,"EPHB3","EPHB3","","3",184561785,184582408,"protein_coding"
"1097","1487_at","1487_at","ENSG00000215572",NA,"ESRRAP1","ESRRAP1","","13",19560013,19561269,"processed_pseudogene"
"1608","1494_f_at","1494_f_at","ENSG00000255974",1548,"CYP2A6","CYP2A6","","19",40843541,40850447,"protein_coding"
"697","1598_g_at","1598_g_at","ENSG00000183087",2621,"GAS6","GAS6","","13",113820549,113864076,"protein_coding"
"2311","160020_at","160020_at","ENSG00000157227",4323,"MMP14","MMP14","","14",22836560,22849041,"protein_coding"
"3645","1729_at","1729_at","ENSG00000102871",8717,"TRADD","TRADD","","16",67154185,67159909,"protein_coding"
"5140","177_at","177_at","ENSG00000075651",5337,"PLD1","PLD1","","3",171600404,171810950,"protein_coding"
"2555","1773_at","1773_at","ENSG00000125954",100529261,"CHURC1-FNTB","CHURC1-FNTB","","14",64914485,65061803,"protein_coding"
"2962","179_at","179_at","ENSG00000265479",441263,"DTX2P1-UPK3BP1-PMS2P11","DTX2P1-UPK3BP1-PMS2P11","","7",76959835,77043775,"lncRNA"
"3457","1861_at","1861_at","ENSG00000002330",572,"BAD","BAD","","11",64269830,64284704,"protein_coding"
"136","200000_s_at","200000_s_at","ENSG00000274442",10594,"PRPF8","PRPF8","","CHR_HSCHR17_1_CTG2",1650629,1684882,"protein_coding"
"4060","200001_at","200001_at","ENSG00000126247",826,"CAPNS1","CAPNS1","","19",36139953,36150353,"protein_coding"
"1784","200002_at","200002_at","ENSG00000136942",NA,"RPL35","RPL35","","9",124857880,124861981,"protein_coding"
"2629","200003_s_at","200003_s_at","ENSG00000108107",6158,"RPL28","RPL28","","19",55385932,55403250,"protein_coding"
